 ;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen
24.04.2020;40;49;7;6;0;9;10;1;24;53;5;6;8;1;4;4
25.04.2020;36;41;1;7;0;17;9;0;13;32;2;2;6;0;7;6
26.04.2020;48;30;10;3;0;1;10;0;7;12;9;0;6;1;1;2
27.04.2020;12;25;2;0;0;2;5;0;7;35;5;14;0;0;2;1
28.04.2020;20;60;2;6;0;0;13;1;3;40;5;2;1;3;3;4
29.04.2020;30;73;10;3;2;11;13;0;12;29;4;6;5;0;2;2
30.04.2020;54;45;10;4;0;2;7;0;10;19;5;2;3;4;3;5
01.05.2020;32;51;2;7;1;8;7;1;13;42;6;4;6;1;4;8
02.05.2020;17;35;3;2;0;0;4;0;22;7;1;0;1;0;2;0
03.05.2020;10;25;2;0;0;1;6;0;2;19;3;3;2;0;1;0
04.05.2020;9;16;0;0;0;2;2;0;3;3;1;1;2;1;0;3
05.05.2020;31;23;0;1;1;6;9;1;7;42;5;0;4;1;5;3
06.05.2020;29;52;5;4;0;18;5;0;7;26;5;1;6;0;1;5
07.05.2020;16;49;3;2;1;4;10;0;8;14;2;0;4;2;1;5
08.05.2020;18;64;1;2;0;7;7;0;15;25;3;0;3;0;2;3
09.05.2020;19;33;1;2;0;3;5;0;3;27;3;2;2;0;0;3
10.05.2020;8;6;1;1;0;0;3;0;2;1;0;0;1;0;1;2
11.05.2020;3;2;0;0;2;0;1;0;0;12;0;0;0;0;1;1
12.05.2020;23;27;0;2;1;12;3;1;9;19;11;2;3;2;1;0
13.05.2020;26;27;5;1;1;7;4;0;1;17;1;0;1;2;0;8
14.05.2020;14;20;3;1;1;5;4;0;16;10;5;1;4;0;0;5
15.05.2020;20;31;4;10;0;0;6;0;10;10;1;2;0;2;1;4
16.05.2020;16;13;3;1;0;3;3;0;1;7;3;2;1;0;0;2
17.05.2020;4;10;0;0;0;1;3;0;9;5;0;0;0;0;0;1
18.05.2020;4;4;0;0;1;0;4;0;1;7;1;0;0;0;0;1
19.05.2020;1;27;2;1;0;0;3;0;3;13;5;5;2;0;2;8
20.05.2020;19;25;4;1;0;4;4;0;9;12;0;0;0;0;3;2
21.05.2020;8;9;0;0;1;3;5;0;9;9;2;3;3;0;3;2
22.05.2020;0;10;4;1;0;1;6;0;2;1;0;0;2;0;0;0
23.05.2020;12;9;0;2;2;0;1;0;3;8;2;0;1;0;2;0
24.05.2020;5;10;1;0;0;1;2;0;1;8;1;0;0;0;1;1
25.05.2020;1;5;0;0;0;0;0;0;0;2;1;0;1;0;0;0
26.05.2020;9;19;0;0;0;0;2;0;2;6;0;1;2;0;2;1
27.05.2020;17;3;2;0;0;1;4;0;4;6;1;2;1;1;1;4
28.05.2020;0;34;2;1;0;3;5;0;5;5;1;1;1;0;3;1
29.05.2020;19;3;1;0;0;1;5;0;2;6;0;1;0;0;1;1
30.05.2020;5;9;1;0;1;0;0;0;8;7;0;1;2;0;1;2
31.05.2020;0;0;1;0;0;6;1;0;0;2;0;0;0;0;0;1
01.06.2020;4;1;0;0;0;1;3;0;0;1;0;0;0;0;0;0
02.06.2020;6;5;0;0;0;0;0;0;1;1;0;0;0;0;0;1
03.06.2020;2;10;0;1;1;0;0;0;2;8;0;0;1;0;1;3
04.06.2020;1;13;2;0;0;0;2;0;5;4;0;1;0;0;0;1
05.06.2020;17;2;0;0;0;0;0;0;3;6;0;2;0;0;0;2
06.06.2020;12;8;1;2;0;1;1;0;1;5;0;0;0;0;1;1
07.06.2020;1;12;4;0;0;0;1;0;0;1;0;0;2;1;0;0
08.06.2020;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020;4;16;0;0;0;0;0;0;1;12;0;1;3;0;1;0
10.06.2020;3;10;1;0;0;0;1;0;1;1;1;0;0;0;0;0
11.06.2020;3;5;2;1;0;0;4;0;3;5;0;0;1;0;0;1
12.06.2020;1;2;0;0;2;0;0;0;0;2;0;1;0;0;0;0
13.06.2020;3;2;0;2;0;1;2;0;3;0;0;0;0;0;2;3
14.06.2020;0;0;0;0;1;0;0;0;1;2;0;0;0;1;1;0
15.06.2020;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0
16.06.2020;3;0;0;0;0;0;4;0;0;2;0;0;1;0;0;0
17.06.2020;3;6;1;0;1;2;1;0;1;7;2;0;1;0;1;3
18.06.2020;5;10;1;0;0;2;2;0;3;3;1;0;0;0;0;0
19.06.2020;5;6;1;0;0;0;1;0;0;2;0;0;0;0;0;1
20.06.2020;3;3;0;0;0;0;1;0;0;3;0;0;0;0;0;0
21.06.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.06.2020;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
23.06.2020;2;4;0;1;0;0;0;0;1;2;0;0;0;0;0;0
24.06.2020;0;7;0;0;0;0;2;0;1;3;1;1;1;1;0;0
25.06.2020;1;5;1;1;0;0;2;0;3;1;0;0;0;0;0;0
26.06.2020;2;8;0;0;0;0;0;0;2;4;0;2;0;0;0;0
27.06.2020;0;0;1;0;1;0;1;0;2;1;0;1;0;0;0;3
28.06.2020;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
29.06.2020;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
30.06.2020;1;2;1;0;3;0;1;0;0;2;0;0;1;0;0;0
01.07.2020;7;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0
02.07.2020;0;3;0;0;0;1;0;0;3;1;0;0;1;0;0;0
03.07.2020;0;1;0;1;0;0;2;0;1;2;0;1;0;0;0;0
04.07.2020;0;2;0;1;0;0;2;0;2;1;0;0;0;0;0;0
05.07.2020;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
06.07.2020;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
07.07.2020;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0
08.07.2020;0;1;0;0;0;0;0;0;2;7;0;0;0;0;1;1
09.07.2020;0;2;1;0;0;0;2;0;1;2;1;0;1;1;0;0
10.07.2020;0;1;0;0;0;0;0;0;1;3;0;0;0;1;1;0
11.07.2020;0;2;0;0;1;0;0;0;0;3;0;0;0;0;0;0
12.07.2020;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
13.07.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14.07.2020;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0
15.07.2020;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
16.07.2020;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;0
17.07.2020;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
18.07.2020;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
19.07.2020;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
20.07.2020;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0
21.07.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
22.07.2020;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0
23.07.2020;0;1;0;0;0;0;1;0;0;4;0;0;0;0;0;0
24.07.2020;1;1;0;1;0;0;1;0;0;5;0;0;0;1;0;0
25.07.2020;2;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0
26.07.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.07.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.07.2020;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0
29.07.2020;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0
30.07.2020;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
31.07.2020;2;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0
01.08.2020;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
02.08.2020;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
03.08.2020;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
04.08.2020;0;1;0;0;0;0;1;0;0;6;0;0;0;0;0;0
05.08.2020;0;1;0;0;0;0;2;0;1;7;0;0;0;0;1;0
06.08.2020;4;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
07.08.2020;1;2;0;0;0;1;1;0;0;3;0;0;0;0;0;0
08.08.2020;6;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0
09.08.2020;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
10.08.2020;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.08.2020;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
12.08.2020;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1
13.08.2020;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1
14.08.2020;0;4;0;0;0;2;0;0;1;5;1;0;0;0;0;1
15.08.2020;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0
16.08.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.08.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18.08.2020;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
19.08.2020;1;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0
20.08.2020;0;0;0;0;0;0;0;0;2;7;0;0;0;1;0;0
21.08.2020;2;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0
22.08.2020;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0
23.08.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24.08.2020;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0
25.08.2020;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
26.08.2020;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
27.08.2020;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0
28.08.2020;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
29.08.2020;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
30.08.2020;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
31.08.2020;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
01.09.2020;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
02.09.2020;0;1;0;0;1;1;2;0;1;5;0;0;0;0;0;0
03.09.2020;0;0;0;0;1;0;0;0;3;2;0;0;0;0;1;0
04.09.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
05.09.2020;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0
06.09.2020;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.09.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.09.2020;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
09.09.2020;0;1;0;0;0;0;1;0;0;3;2;1;0;0;0;1
10.09.2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
11.09.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12.09.2020;0;1;0;0;0;0;1;0;2;0;1;0;1;0;0;0
13.09.2020;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
14.09.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15.09.2020;1;2;0;0;1;0;1;0;0;5;1;0;0;0;0;1
16.09.2020;0;0;1;0;0;0;2;0;0;3;0;0;0;0;0;0
17.09.2020;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
18.09.2020;1;1;0;0;0;1;1;0;0;3;0;0;0;0;0;0
19.09.2020;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
20.09.2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
21.09.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2020;0;3;0;0;0;0;1;0;1;3;1;0;1;0;0;0
23.09.2020;3;2;1;0;0;0;0;0;0;6;0;0;0;1;0;0
24.09.2020;1;1;0;0;0;0;1;0;8;5;0;0;2;0;0;1
25.09.2020;1;3;0;0;0;0;2;0;3;2;3;0;1;0;0;0
26.09.2020;1;0;0;0;0;0;1;0;1;2;0;0;3;0;0;0
27.09.2020;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0
28.09.2020;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
29.09.2020;0;12;0;0;0;0;1;0;0;2;2;1;0;1;0;0
30.09.2020;5;0;0;0;0;1;0;0;2;5;1;0;1;0;1;1
01.10.2020;1;0;0;0;0;1;0;0;1;7;1;0;1;0;0;0
02.10.2020;1;0;1;0;0;0;0;0;4;0;0;0;2;0;0;0
03.10.2020;1;0;2;0;0;0;1;0;1;3;1;0;2;0;0;0
04.10.2020;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
05.10.2020;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
06.10.2020;4;2;0;0;0;0;3;0;1;2;0;0;0;0;0;0
07.10.2020;0;6;0;0;0;1;0;0;0;5;0;0;4;0;0;0
08.10.2020;4;1;1;0;1;2;1;0;3;3;0;0;0;0;0;0
09.10.2020;0;3;1;0;0;0;0;0;1;6;0;0;0;0;0;0
10.10.2020;1;0;1;0;0;1;2;0;1;5;0;0;3;0;0;0
11.10.2020;2;1;0;0;0;0;1;0;0;6;0;0;1;0;0;0
12.10.2020;0;0;0;0;1;0;2;0;0;2;0;0;1;0;0;0
13.10.2020;2;4;0;0;0;0;0;0;0;4;1;0;0;0;0;3
14.10.2020;6;4;3;3;1;1;5;0;6;6;3;0;2;0;1;2
15.10.2020;10;7;0;0;0;0;2;0;4;8;0;0;2;0;0;0
16.10.2020;1;2;2;0;0;0;2;0;4;5;2;0;3;3;0;0
17.10.2020;7;11;1;0;0;0;1;0;0;7;1;0;2;0;0;2
18.10.2020;1;0;0;0;1;2;1;1;3;0;0;0;0;0;0;1
19.10.2020;4;1;1;0;0;0;3;0;0;3;0;0;1;0;0;0
20.10.2020;4;6;0;2;0;1;8;0;4;17;2;0;1;0;0;2
21.10.2020;10;6;2;1;0;0;6;0;2;7;0;0;5;0;0;0
22.10.2020;4;3;0;2;0;1;3;0;1;10;0;1;5;0;0;0
23.10.2020;7;5;2;2;0;1;7;0;3;14;2;0;3;2;1;0
24.10.2020;9;6;3;1;1;0;7;0;5;14;1;0;1;0;0;1
25.10.2020;4;2;1;4;0;0;2;0;1;9;0;0;5;1;0;0
26.10.2020;2;4;1;0;0;0;2;0;3;7;0;1;0;0;3;1
27.10.2020;5;10;1;2;2;0;6;1;1;7;0;1;5;0;0;0
28.10.2020;9;16;0;1;0;0;12;0;2;28;8;1;9;0;0;0
29.10.2020;14;17;2;1;3;0;8;0;2;24;3;2;8;2;3;0
30.10.2020;10;8;0;2;1;0;4;1;6;19;2;3;15;1;4;1
31.10.2020;12;7;2;3;2;0;5;0;5;43;4;2;2;2;1;3
01.11.2020;7;4;6;2;0;2;8;0;0;0;0;4;5;0;0;1
02.11.2020;2;1;0;2;1;3;9;0;14;9;2;0;2;2;2;0
03.11.2020;14;7;0;6;4;3;20;0;1;39;7;2;18;2;6;2
04.11.2020;11;27;4;0;1;3;16;0;19;43;7;0;8;3;7;2
05.11.2020;16;8;7;1;2;2;11;0;9;31;6;1;15;2;2;5
06.11.2020;20;34;15;4;1;2;19;1;11;30;3;3;21;0;2;0
07.11.2020;15;20;5;5;4;0;12;5;9;37;6;1;3;1;6;1
08.11.2020;4;8;2;2;1;6;12;0;6;7;0;0;13;1;0;1
09.11.2020;9;10;1;2;1;0;5;1;6;14;4;2;3;3;1;1
10.11.2020;13;30;6;6;1;0;28;1;11;40;5;1;4;0;4;4
11.11.2020;34;65;13;3;1;1;23;3;9;70;9;3;17;3;3;4
12.11.2020;22;32;7;3;0;3;12;0;25;52;8;2;32;6;5;6
13.11.2020;36;31;13;1;4;2;15;2;14;64;10;1;16;3;0;6
14.11.2020;17;27;14;2;1;1;18;1;15;35;4;3;28;0;5;7
15.11.2020;16;25;10;6;0;0;10;1;6;7;6;3;9;0;1;7
16.11.2020;7;11;5;3;3;2;9;0;1;14;1;0;3;0;3;0
17.11.2020;32;47;8;10;1;1;32;2;13;63;7;3;32;1;5;10
18.11.2020;36;71;23;2;4;1;30;4;18;66;11;11;21;2;0;5
19.11.2020;36;52;7;9;1;3;26;3;16;53;10;3;15;5;2;10
20.11.2020;36;34;21;8;1;13;19;2;19;68;11;3;20;0;2;3
21.11.2020;31;39;19;6;1;3;30;4;15;56;9;0;24;8;2;7
22.11.2020;5;39;6;1;1;2;17;0;19;13;5;2;22;1;1;4
23.11.2020;8;14;2;3;2;2;6;0;6;21;4;0;19;0;0;3
24.11.2020;3;50;7;7;4;1;38;1;12;70;14;3;15;7;3;14
25.11.2020;78;63;36;6;1;8;40;1;30;79;18;9;28;0;4;9
26.11.2020;50;94;16;14;1;0;52;2;27;84;13;1;10;16;1;8
27.11.2020;46;52;19;9;0;11;36;1;25;96;26;0;80;9;3;13
28.11.2020;45;60;12;13;2;10;33;3;36;74;17;1;58;6;4;5
29.11.2020;31;26;0;5;0;4;8;0;10;38;7;1;24;3;0;1
30.11.2020;13;16;14;3;2;0;8;0;2;17;2;1;40;2;4;1
01.12.2020;61;61;12;7;5;1;50;3;7;80;29;3;43;11;2;13
02.12.2020;49;108;29;15;2;12;40;1;25;106;26;3;45;5;3;18
03.12.2020;58;87;24;21;4;2;34;3;23;100;20;4;73;9;1;16
04.12.2020;36;99;23;25;3;17;39;3;21;72;16;0;59;4;4;11
05.12.2020;59;93;16;10;1;3;30;2;28;99;36;6;82;8;1;9
06.12.2020;29;40;22;4;3;12;19;1;5;32;22;3;55;6;0;2
07.12.2020;15;36;4;2;1;4;18;1;5;30;8;0;13;1;1;8
08.12.2020;76;86;16;1;2;2;51;3;11;110;7;5;15;6;4;28
09.12.2020;72;107;33;13;3;10;49;8;22;103;55;10;74;14;2;15
10.12.2020;59;103;17;9;5;8;23;2;54;59;23;1;47;13;5;12
11.12.2020;64;102;19;20;3;15;58;6;27;120;46;7;77;9;7;18
12.12.2020;60;89;22;13;0;4;57;2;23;76;32;2;86;12;7;11
13.12.2020;47;36;23;4;4;16;33;0;16;33;9;5;61;8;1;6
14.12.2020;25;47;8;3;4;0;6;2;8;34;9;6;50;3;2;0
